NAME,b1,a1,b2,a2,b3,a3,b4,a4,b5,a5,b6,a6,b7,a7,b8,a8,b9,a9,b10,a10,b11,a11,b12,a12,b13,a13,b14,a14,b15,a15,beam
MQXB.B2R2,0.0,0.0,0.045520082381296276,0.0,0.013159650451284794,0.01916944182807627,1.6653345369377348e-16,0.015783218936579448,0.0105814696521797,0.0036294765462804687,0.016337108067219244,0.03532718499965714,4.163336342344337e-17,6.245004513516506e-17,4.163336342344337e-17,5.204170427930421e-18,3.122502256758253e-17,1.3877787807814457e-17,1.0408340855860843e-17,3.8163916471489756e-17,5.204170427930421e-18,1.3010426069826053e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.3R2,0.0,0.0,0.03127583092421367,0.0,0.047143224327574375,0.034129604451267816,0.007998749902328498,0.049579934449331425,0.01669130312468143,0.01200637747199379,0.07357481294573572,6.505213034913027e-19,1.0408340855860843e-17,1.3010426069826053e-18,5.204170427930421e-18,6.938893903907228e-18,2.168404344971009e-18,6.505213034913027e-19,5.204170427930421e-17,1.3010426069826053e-18,2.6020852139652106e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.3L5,0.0,0.0,0.030893682202029593,0.0,0.04115965378863141,0.030008358835497826,0.008462735964213942,0.05461517737772165,0.015264766621209768,0.010637744121758148,0.07745201353095993,4.163336342344337e-17,1.3877787807814457e-17,3.469446951953614e-18,2.7755575615628914e-17,3.8163916471489756e-17,1.3010426069826053e-18,0.0,1.0408340855860843e-17,2.168404344971009e-18,1.3010426069826053e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.B2L5,0.0,0.0,0.04604221541151121,0.0,0.01436524973677795,0.019668868803263694,0.0,0.015971862759240077,0.011666409044774666,0.004130605282522162,0.0150724384224982,0.03425682267811774,4.163336342344337e-17,2.7755575615628914e-17,1.3877787807814457e-17,2.7755575615628914e-17,3.122502256758253e-17,6.938893903907228e-18,2.7755575615628914e-17,2.42861286636753e-17,4.5102810375396984e-17,2.6020852139652106e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.A2L5,0.0,0.0,0.04604221541151121,0.0,0.012360335755957439,0.019607169607059577,4.440892098500626e-16,0.017427277469530315,0.009444972207476317,0.004092676385936227,0.01557310502115746,0.03789354958300951,1.0408340855860843e-17,2.168404344971009e-18,1.3877787807814457e-17,3.469446951953614e-18,3.8163916471489756e-17,2.168404344971009e-18,1.3877787807814457e-17,3.8163916471489756e-17,1.3010426069826053e-18,2.6020852139652106e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.1L5,0.0,0.0,0.029926033816728866,0.0,0.05047183273866722,0.03271259084817343,0.00789082378462476,0.052381747775346314,0.01728919894037893,0.010821178309223077,0.06558165825899799,4.85722573273506e-17,6.938893903907228e-18,1.3877787807814457e-17,3.3306690738754696e-16,2.42861286636753e-17,0.0,6.505213034913027e-19,8.326672684688674e-17,1.3010426069826053e-18,6.505213034913027e-19,2.168404344971009e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.1R5,0.0,0.0,0.03085465929158836,0.0,0.04586342333494089,0.028284242963176505,0.009121271841141462,0.054170379359941706,0.014924690951574176,0.010744766167767449,0.07540349792947273,4.85722573273506e-17,1.3877787807814457e-17,6.938893903907228e-18,3.3306690738754696e-16,2.6020852139652106e-18,3.469446951953614e-18,3.469446951953614e-18,1.6653345369377348e-16,6.505213034913027e-19,4.336808689942018e-18,2.168404344971009e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.A2R5,0.0,0.0,0.04449959999820224,0.0,0.01392613011572131,0.01618807894717592,5.551115123125783e-16,0.015911791225377486,0.010431203190428225,0.004125530268947248,0.01574552634877602,0.03684368466915327,2.0816681711721685e-17,4.163336342344337e-17,1.0408340855860843e-17,3.8163916471489756e-17,6.505213034913027e-19,6.938893903907228e-18,1.3877787807814457e-17,8.673617379884035e-18,3.469446951953614e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.B2R5,0.0,0.0,0.04449959999820224,0.0,0.013943066377235686,0.019941060653836825,3.885780586188048e-16,0.01659156412156491,0.009624967532412773,0.003737432273633857,0.01522241439456961,0.04147045213160811,2.7755575615628914e-17,6.938893903907228e-18,3.122502256758253e-17,4.85722573273506e-17,6.938893903907228e-18,6.938893903907228e-18,2.42861286636753e-17,3.122502256758253e-17,4.336808689942018e-18,6.505213034913027e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.3R5,0.0,0.0,0.030555778504237133,0.0,0.046158876719435006,0.02667699195936453,0.009003465999269353,0.051640754254755034,0.018124511027887067,0.010913276318319813,0.07142823251348168,2.7755575615628914e-17,5.204170427930421e-18,3.469446951953614e-18,9.71445146547012e-17,3.469446951953614e-18,6.505213034913027e-19,2.6020852139652106e-18,2.7755575615628914e-17,1.3010426069826053e-18,2.168404344971009e-18,6.505213034913027e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
