NAME,b1,a1,b2,a2,b3,a3,b4,a4,b5,a5,b6,a6,b7,a7,b8,a8,b9,a9,b10,a10,b11,a11,b12,a12,b13,a13,b14,a14,b15,a15,beam
MQXA.3R2,0.0,0.0,-0.00032000000000000035,0.0,-0.01458,0.059009999999999986,1.1604000000000003,-0.14451000000000003,-0.06702,0.05062999999999999,0.2178700000000001,0.0010000000000000007,-0.01400000000000001,0.0020000000000000013,-0.007000000000000005,-0.021999999999999992,-0.0030000000000000022,-0.0010000000000000007,-0.02899999999999995,0.0020000000000000013,-0.004000000000000003,0.005000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.3L5,0.0,0.0,0.0030200000000000014,0.0,0.2897699999999998,0.16671999999999998,1.413110000000001,0.17931999999999992,0.004370000000000001,0.0032800000000000017,0.24683999999999998,-0.05299999999999996,0.012999999999999986,0.005000000000000004,0.04599999999999997,0.01899999999999996,-0.0020000000000000013,0.0,-0.02700000000000001,-0.0030000000000000022,0.0020000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.B2L5,0.0,0.0,-0.0011199999999999988,0.0,-0.8131399999999996,0.28534000000000004,0.109,0.1731399999999999,0.37892999999999977,0.01608999999999999,-0.07296,-0.76451,-0.06899999999999996,0.05499999999999997,0.043999999999999984,0.04599999999999997,0.01699999999999997,0.021999999999999992,0.031000000000000028,0.014999999999999975,-0.020999999999999956,-0.004000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.A2L5,0.0,0.0,-0.0011199999999999988,0.0,0.11039,-0.7428300000000003,0.2830000000000004,0.9332999999999995,0.25015,-0.15309999999999993,0.3412799999999999,-0.03817,0.01600000000000001,0.0030000000000000022,0.020000000000000014,0.005000000000000004,-0.01899999999999996,0.0030000000000000022,0.018000000000000013,0.01899999999999996,0.0020000000000000013,-0.004000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.1L5,0.0,0.0,-0.0021499999999999996,0.0,-0.13878999999999997,0.17708000000000004,1.51143,-0.34584999999999994,-0.023059999999999987,-0.030109999999999984,0.26319,-0.024999999999999953,-0.010000000000000007,0.012999999999999986,0.14600000000000032,-0.014999999999999975,0.0,-0.0010000000000000007,-0.09700000000000009,-0.0020000000000000013,-0.0010000000000000007,0.0030000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.1R5,0.0,0.0,-0.0040999999999999995,0.0,-0.17707999999999996,0.46803999999999996,1.4513199999999997,-0.021700000000000004,-0.039559999999999984,0.05089999999999999,0.24715,0.024999999999999953,-0.012999999999999986,-0.009000000000000006,0.14600000000000032,-0.004000000000000003,0.010999999999999996,0.005000000000000004,-0.10100000000000017,-0.0010000000000000007,0.0060000000000000045,0.0030000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.A2R5,0.0,0.0,-0.002840000000000001,0.0,1.279730000000001,-0.25181000000000003,0.4010000000000006,0.1910700000000001,0.16349999999999998,0.20539999999999992,0.29472000000000004,-0.016730000000000002,0.05400000000000002,-0.06400000000000004,0.02700000000000001,-0.01899999999999996,-0.0010000000000000007,0.010000000000000007,0.012999999999999986,0.012000000000000009,0.010999999999999996,-0.009000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.B2R5,0.0,0.0,-0.002840000000000001,0.0,-0.51097,0.7997099999999997,0.2399999999999996,-0.07339999999999999,-0.07500000000000002,0.14245999999999998,0.10309000000000003,-0.07504000000000001,-0.02599999999999997,-0.021999999999999992,0.01699999999999997,-0.024999999999999953,-0.010000000000000007,0.010000000000000007,0.014999999999999975,0.01699999999999997,0.0060000000000000045,-0.0010000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.3R5,0.0,0.0,0.0003800000000000004,0.0,0.07041,0.4185900000000002,1.50324,-0.30934999999999996,0.045389999999999986,0.045020000000000004,0.19874000000000006,-0.02599999999999997,0.008000000000000005,0.005000000000000004,0.049999999999999906,-0.010999999999999996,0.0010000000000000007,-0.004000000000000003,-0.02599999999999997,-0.0020000000000000013,-0.0030000000000000022,-0.0010000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.3L8,0.0,0.0,-0.000509999999999999,0.0,-0.25433999999999996,-0.1124,1.3348199999999995,0.040860000000000014,0.008020000000000005,-0.005060000000000002,0.22273999999999997,-0.012999999999999986,0.010999999999999996,0.005000000000000004,0.04599999999999997,-0.009000000000000006,-0.010000000000000007,-0.009000000000000006,-0.04099999999999996,-0.004000000000000003,-0.012000000000000009,0.008000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
