* NAME                                S               BETX               ALFX               BETY               ALFY                MUX                MUY                 DX                 DY                DPX                DPY                  X                  Y                K0L                 K0                K1L               K1SL                K2L                K3L                K4L                 WX                 WY               PHIX               PHIY               DMUX               DMUY KEYWORD                           DBX                DBY                R11                R12                R21                R22 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le %s                                %le                %le                %le                %le                %le                %le 
 "MB.B10R8.B2"              242.4037208        38.66673679       0.7982880998        148.8336248       -3.525745538       0.8477150107       0.8334378514       0.8856388585      -0.1882984951     -0.01115993401    -0.005696894757   -3.541267449e-08    3.314244581e-11     0.005099988074                  0                 -0                 -0                 -0                 -0                 -0        418.3260432         31.8508719        1.960407246        1.498027429         39.9361038       -2.959843575 "SBEND"                              0                  0   -1.601416989e-06    9.105181573e-05   -7.410916111e-08     1.33103121e-06
 "BPM.10R8.B2"              243.5569682        36.88180477       0.7494561994        157.0857568       -3.629815627       0.8525761188       0.8346382564       0.8727686934      -0.1948684238     -0.01115993401    -0.005696894757   -3.462206836e-08    3.519768154e-11                 -0                  0                 -0                 -0                 -0                 -0                 -0        418.3695327        31.90453372        1.970137911        1.500873428        37.94613657       -2.922778881 "MONITOR"                            0                  0   -1.686883183e-06    9.453221751e-05   -7.410916111e-08    1.416497403e-06
 "MQML.10R8.B2"             249.1019682        35.65060756      -0.6875231235          169.57052         2.31845931       0.8779186503       0.8398511347       0.8850263902      -0.2087373246      0.01985449247     0.001744454648   -3.371209549e-08    4.172802933e-11                 -0                  0     -0.03596416593                 -0                 -0                 -0                 -0        418.4006411        31.98396815        2.020876061        1.511960197        27.36595873       -2.761455792 "QUADRUPOLE"                         0                  0   -5.643720722e-06    0.0001134473694    6.789547203e-08   -2.182744503e-06
 "MB.A11R8.B2"              265.8092155        70.15300801       -1.377558965        102.5947568        1.690325727       0.9321308366       0.8600652868         1.25319179      -0.1795922893      0.02495250361     0.001744454648   -4.234610861e-08    4.764860161e-11     0.005099988074                  0                 -0                 -0                 -0                 -0                 -0        417.7947927        31.56448637        2.129425863        1.554726944        7.512044463       -2.155701626 "SBEND"                              0                  0   -4.509155875e-06    0.0001523175269    6.789032166e-08   -3.317056229e-06
 "MB.B11R8.B2"              281.4697102        123.4269013       -2.024196031         58.8726589        1.101546352       0.9590441462       0.8923569193        1.680406898      -0.1522732666      0.03004980399     0.001744454648   -5.043794159e-08    5.319823459e-11     0.005099988074                  0                 -0                 -0                 -0                 -0                 -0         417.227576        31.17763993        2.183370346        1.621557917         1.27983683       -1.333297505 "SBEND"                              0                  0   -3.445723952e-06    0.0001543346418    6.788323748e-08   -4.380203706e-06
 "BPM.11R8.B2"              295.3976576        187.8241318       -2.599402038        35.48135381       0.5779046471       0.9736233629       0.9416417901        2.098938993      -0.1279765941      0.03004980399     0.001744454648   -5.763390346e-08    5.813390217e-11                 -0                  0                 -0                 -0                 -0                 -0                 -0        416.7226181        30.83868447        2.212633921        1.722176342         -0.6833113      -0.6743181138 "MONITOR"                            0                  0   -2.500249794e-06    0.0001281507427    6.788323748e-08   -5.325677863e-06
 "MQ.11R8.B2"               299.4946576        192.8279635        2.709641762        34.21974802      -0.4917772241       0.9769776483       0.9608003903        2.130258193      -0.1261938563     -0.02917894365    -0.001716179503   -5.725674171e-08    6.212274002e-11                 -0                  0      0.02761374353                 -0                 -0                 -0                 -0        416.6641435        30.72801177        2.219347783        1.760653194      -0.9829768468      -0.6621264862 "QUADRUPOLE"                         0                  0    8.700603306e-07    0.0001159770521   -5.507272446e-08   -2.035415807e-06
 "MQTLI.11R8.B2"            300.9636576        184.8161141        2.755671636        35.77009263      -0.5662764242       0.9782159394       0.9674859819        2.086580248      -0.1287639547     -0.03042753938    -0.001791836544   -5.563636468e-08    6.509666275e-11                 -0                  0    0.0005928504488                 -0                 -0                 -0                 -0        416.6227084        30.69306198        2.221804915        1.773813029       -1.079053251       -0.690994545 "QUADRUPOLE"                         0                  0    8.560997373e-07    0.0001118281303   -5.572344958e-08   -1.886709485e-06
 "MB.A12R8.B2"              317.6499049         105.795944        1.979967714        64.94810221       -1.182349878       0.9972533597        1.023748477        1.615299396      -0.1586629771     -0.02533083563    -0.001791836215   -3.692023807e-08    9.923085717e-11     0.005099988074                  0                 -0                 -0                 -0                 -0                 -0        432.9778792        33.65358792        2.260744881        1.881388629       -1.521666413       -1.608363674 "SBEND"                              0                  0   -7.361678772e-08    8.157580331e-05   -5.572887927e-08    -9.56826762e-07
 "MB.B12R8.B2"              333.3103996        55.18558984         1.25173671        111.0353947        -1.76055157        1.030105562        1.053267673        1.255051809      -0.1867240187     -0.02023341552    -0.001791836215   -1.935355706e-08    1.312667223e-10     0.005099988074                  0                 -0                 -0                 -0                 -0                 -0        432.5079875        33.30302584        2.326244944        1.938244343         2.25381689       -2.467785833 "SBEND"                              0                  0   -9.462228466e-07    8.141092598e-05   -5.572975695e-08   -8.407695136e-08
 "MB.C12R8.B2"              348.9708943        27.38646834       0.5233648896        175.2325363       -2.338753262        1.096092368        1.071173902       0.9746366213      -0.2147850603     -0.01513541907    -0.001791836216   -1.786324783e-09    1.633025875e-10     0.005099988074                  0                 -0                 -0                 -0                 -0                 -0        432.0384949        32.95886827        2.458013694        1.971827275        23.77427316       -3.054637118 "SBEND"                              0                  0   -1.818804583e-06    0.0001085791553   -5.572904721e-08    7.886752542e-07
 "BPM.12R8.B2"              350.1241417        26.24119541       0.4697203581        180.6759625       -2.381332349        1.102941204        1.072205447       0.9571817381      -0.2168514907     -0.01513541907    -0.001791836216   -4.926556219e-10     1.65661726e-10                 -0                  0                 -0                 -0                 -0                 -0                 -0        432.0039167        32.93376347        2.471696259        1.973724232        26.65352883       -3.089158143 "MONITOR"                            0                  0   -1.883073959e-06     0.000111660343   -5.572904721e-08    8.529446302e-07
 "MQT.12R8.B2"              351.0381417        25.41884261       0.4351856678        185.0784247       -2.473188347        1.108574604        1.073000977       0.9433004102      -0.2185001863     -0.01543237496    -0.001860350468    5.326201954e-10    1.675398432e-10                 -0                  0    0.0003139885894                 -0                 -0                 -0                 -0        431.9764095        32.91383152        2.482951094        1.975182204        29.05630703       -3.115808836 "QUADRUPOLE"                         0                  0   -1.898342949e-06    0.0001142076306   -5.604129587e-08    9.396494543e-07
